userId,Ant-Man (2015),Avengers: Infinity War - Part I (2018),Captain America: Civil War (2016),Deadpool (2016),Deadpool 2 (2018),Doctor Strange (2016),Fantastic Four (2005),Guardians of the Galaxy (2014),Guardians of the Galaxy 2 (2017),Spider-Man: Homecoming (2017),Thor: Ragnarok (2017),X-Men: Apocalypse (2016)
338,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
339,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0
352,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
365,0.0,0.0,0.0,3.5,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
380,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0
382,3.5,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,4.5,0.0,0.0,0.0
408,5.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,3.5,0.0,0.0,4.0,0.0,3.5,2.5,4.0,4.0,4.5,4.0,0.0
417,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
448,3.5,0.0,3.0,4.0,0.0,0.0,2.0,3.5,0.0,0.0,0.0,2.0
459,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
466,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.5,0.0,0.0,0.0,0.0
475,0.0,0.0,3.5,5.0,0.0,4.5,4.0,4.5,3.0,0.0,0.0,0.0
477,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0
480,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
483,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
495,0.0,0.0,0.0,5.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0
496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0
509,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0
511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
514,2.0,0.0,0.0,0.0,3.5,0.0,0.0,3.0,0.0,4.0,0.0,0.0
515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0
522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
523,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525,3.5,0.0,3.5,3.5,0.0,0.0,1.0,4.5,0.0,0.0,0.0,0.0
534,3.0,0.0,0.0,5.0,0.0,0.0,3.0,4.5,0.0,0.0,0.0,0.0
548,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
550,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0
551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0
556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
560,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,3.5,0.0,3.5,2.0,0.0,2.5,0.0,4.0,0.0,0.0,0.0,0.0
567,3.0,3.0,2.5,0.0,0.0,3.0,1.0,3.5,3.5,4.0,3.0,1.5
573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0
580,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
586,4.5,4.5,5.0,4.0,4.0,5.0,0.0,5.0,5.0,5.0,4.5,4.5
590,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
596,3.5,4.0,3.5,4.0,0.0,3.5,3.0,3.5,4.0,4.0,5.0,2.5
599,2.5,0.0,2.5,3.5,0.0,2.5,2.5,3.5,3.0,3.5,3.0,2.5
601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,3.5,0.0
605,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0
610,3.5,0.0,5.0,3.0,1.0,3.5,0.0,4.5,0.0,0.0,0.0,3.5
